id,walk_m,straight_line_m,routing_penalty_m,routing_method
08f298901d31ac9c03ef9081455efdc6,20.3,20.44,0.0,osrm
08f2a8c14b52b28503ce74896dc4d631,38.9,20.9,18.0,osrm
08f2830c1b79bb6c03262b1af871a3d5,43.8,20.87,22.93,osrm
08f48e96eba12ad803ada08c43834f2f,21.1,22.11,0.0,osrm
08f44a972a198cd203f490dbeed0f60c,6.7,23.24,0.0,osrm
08f29a0306924b4003dd48de9347ab23,21.8,21.93,0.0,osrm
08f446eab014842603ba04101e1de95d,12.1,22.72,0.0,osrm
08f2a13d263614d0031e501729743b07,23.0,23.18,0.0,osrm
08f44cc2b2860ae103ffd902b843e7c9,312.7,25.03,287.67,osrm
08f26c93509857990360cded735db3fa,132.0,22.38,109.62,osrm
08f26c860395a59a03ddcbf0ee7b587f,319.2,25.58,293.62,osrm
08f266d3704eab560309b6ff63d0c46f,11.3,26.74,0.0,osrm
08f44131b6312c06031fcb474ebcad98,24.9,27.35,0.0,osrm
08f44a18533412ad030093a67a54e92f,25.6,30.56,0.0,osrm
08f2832a1e81ea4103846f688f07c327,20.3,23.77,0.0,osrm
08f2a8a4f0c9620b03436f994cf66f79,652.5,24.36,628.14,osrm
08f2a896edc6840a031a569aa43dacdf,24.6,24.71,0.0,osrm
08f2a8bb4d12250603ae8b39cc524544,234.2,21.42,212.78,osrm
08f2ad6d348d4d01039afdb22d65bfc3,537.5,31.87,505.63,osrm
08f28d54294e870c032e1e1fb41d7699,17.7,20.54,0.0,osrm
08f2a12c5c2685620330ec0bc83aa89f,2.6,22.99,0.0,osrm
08f29aeb703ac80b036339d82bdc720a,219.9,27.64,192.26,osrm
08f2af60ce3aa919033854a83736a8ea,14.2,21.14,0.0,osrm
08f268cc0074344503d0aa2af21c6330,182.2,30.3,151.9,osrm
08f48d872688856403d35c3b4f9a493a,21.2,21.53,0.0,osrm
08f44d84aa9458da03f8e5d2233a32ec,25.5,32.2,0.0,osrm
08f2aacaab7a075d03c05f23425ff2b0,262.1,20.37,241.73,osrm
08f2986b8638c5ad03f3c2fa01ca7449,516.9,24.63,492.27,osrm
08f268cd962eccda034ade79a0e06fbd,759.2,23.44,735.76,osrm
08f48c63abb16976030d9378024abeac,155.9,28.66,127.24,osrm
08f28346e6844c1e033c32a6381c3b7a,255.1,20.99,234.11,osrm
08f44a1a94104063035aa6f92d47cc1c,52.4,30.49,21.91,osrm
08f2a3054ea4bc2c0308234bfb2adf95,20.7,19.43,1.27,osrm
08f2664c8ed711b103128a69fd487288,15.6,25.25,0.0,osrm
08f2a13c0d98452a0301d98e553a57c1,13.2,20.21,0.0,osrm
08f446c36b41bd6203cc9f178f0d3d11,29.7,26.41,3.29,osrm
08f4468143b34d0d03cca189ab50c32b,5.9,32.81,0.0,osrm
08f265330356069a0319ab4542edf2a4,289.8,21.11,268.69,osrm
08f283082b4e973303b3d053ffa06452,9.2,13.92,0.0,osrm
08f2a142edcb361d03304bf6c0212950,6.6,22.92,0.0,osrm
08f44554529961a503a33f1b232cad5b,35.9,32.91,2.99,osrm
08f2642b36625bb4030ddc4dc63e51ca,14.6,20.62,0.0,osrm
08f29b69b0564b5c03c672daba5312ac,21.8,22.1,0.0,osrm
08f445622a92924903420c1b527240c9,167.7,26.32,141.38,osrm
08f44dab22c303110304a8a9a5e3dc43,4.7,24.92,0.0,osrm
08f2ad394b134370030357f8d3d100ae,21.2,21.78,0.0,osrm
08f446c2564664c003e2b89821e91a96,68.0,22.91,45.09,osrm
08f48ebb7232a79d03ff64970887c892,31.8,23.36,8.44,osrm
08f26c805d3820c203d5dcb91764c119,4.2,22.16,0.0,osrm
08f489c1ad12598603da2ca1be91a273,1371.0,26.55,1344.45,osrm
08f2752641252b0a03b8e455f3e624d0,9.0,21.58,0.0,osrm
08f283049156884903a11757e34e7552,15.3,23.88,0.0,osrm
08f2a9497677274603ecdc7d22685df9,11.6,22.83,0.0,osrm
08f26c8672a8091a03e430bbca147416,0.1,22.23,0.0,osrm
08f4880ca67032b603a0cc92e246c7ef,6.6,30.06,0.0,osrm
08f2a10755d0da1c03155a1195004543,13.2,20.11,0.0,osrm
08f44a1b9211848b0331f644abb3f566,74.6,23.84,50.76,osrm
08f264d8f059c35b03e691e9b3758c57,198.5,27.35,171.15,osrm
08f2aae28e6f241103dcbbe187c8b69b,134.4,23.56,110.84,osrm
08f2a10628215c4003bc3c3f06e84a99,21.8,23.16,0.0,osrm
08f28308f40b02dd03632475c3af8ebf,37.3,20.91,16.39,osrm
08f44490e0c939190308c05ce1195fbf,22.0,21.9,0.1,osrm
08f2a8405e24ad2d03a23560949bb14c,7.2,25.82,0.0,osrm
08f2aa87ae61d29903ac915e9d12bf0b,49.2,30.67,18.53,osrm
08f2ad6893a442890313820092da5e24,21.5,21.54,0.0,osrm
08f29124dac8236e0315093d28f5e006,44.8,21.9,22.9,osrm
08f48c63a975596803796e9a0e9092b7,219.1,25.77,193.33,osrm
08f262eb19cea0b1036fe8dc1323076f,1.4,19.01,0.0,osrm
08f2aad14ad666740370ef65b9d5f888,106.3,14.49,91.81,osrm
08f2aae2cb0320590308a28266b12616,30.1,23.61,6.49,osrm
08f2a304710a398003c25d7194d92786,90.5,24.9,65.6,osrm
08f275936c61c60403e770510fdfd613,13.2,19.68,0.0,osrm
08f2a9372849268a03133a48f2461dbb,0.0,30.57,0.0,osrm
08f2ad50248ae15d038844f44ba1d638,21.3,21.78,0.0,osrm
08f2ad50b64eb65203fdc1acfaed34ad,21.6,21.78,0.0,osrm
08f2a338f484bd340394950c1112211f,7.2,22.65,0.0,osrm
